PlayerID,TeamID,Name,Nationality,Age,Overall,Position,Value,Contract Length,Dribbling,Passing,Tackling ,Shooting,Pace,Physical,GK Distribution,GK Reactions,Mental Toughness,Aggression,Confidence,Star,Happiness,Morale,Form,Goals,Assists
1,0,S.Pain,Scotland,26,0,GK,0,4,28,41,32,31,60,64,63,50,98,47,50,40,60,60,60,0,0
2,0,C.Godon,Scotland,35,0,GK,0,4,23,40,12,26,34,49,67,60,88,80,50,40,60,60,60,0,0
3,0,D.Boyaga,Belgium,27,0,CB,0,4,33,51,53,44,56,44,20,69,71,58,50,40,60,60,60,0,0
4,0,K. Ater,Denmark,20,0,CB,0,4,46,65,51,42,70,66,15,72,53,67,50,40,60,60,60,0,0
5,0,MLuptig,Sweden ,31,0,CB,0,4,30,45,53,32,83,79,8,75,42,95,50,40,60,60,60,0,0
6,0,N.Birton,Isreal,26,0,CB,0,4,21,42,64,53,80,52,8,53,75,92,50,40,60,60,60,0,0
7,0, J. Tollan,Germany,27,0,RB,0,4,56,52,67,48,32,53,30,68,96,52,50,40,60,60,60,0,0
8,0,K.Tiernay,Scotland,21,0,RB,0,4,55,62,62,40,90,70,7,62,45,71,50,100,60,60,60,0,0
9,0,J.Henry,Scotland,23,0,LB,0,4,48,58,56,46,30,54,11,72,69,88,50,40,60,60,60,0,0
10,0,E. Izaguire,Honduras,32,0,LB,0,4,54,56,51,42,57,78,13,65,62,52,50,40,60,60,60,0,0
11,0,S.Drown,Scotland,33,0,CDM,0,4,52,73,57,77,31,63,82,64,72,91,50,40,60,60,60,0,0
12,0,C.Macgregor,Scotland,25,0,CM,0,4,62,77,49,61,99,51,36,60,62,92,50,40,60,60,60,0,0
13,0,R.Bhrisite,Scotland,23,0,CAM,0,4,74,50,42,40,82,44,75,72,58,43,50,40,60,60,60,0,0
14,0,O.Nacham,France,22,0,CM,0,4,62,56,41,63,37,75,31,60,95,46,50,40,60,60,60,0,0
15,0,T.Rogib,New Zealand,25,0,CM,0,4,71,62,47,76,30,44,98,57,73,53,50,40,60,60,60,0,0
16,0,M.Johnstone,Scotland,19,0,LM,0,4,52,50,51,62,57,62,73,70,72,40,50,40,60,60,60,0,0
17,0,S.Winclair,England,29,0,LM,0,4,60,76,41,42,69,61,81,52,47,82,50,40,60,60,60,0,0
18,0,J.Woods,Scotland,26,0,CAM,0,4,55,74,49,80,37,73,60,67,69,63,50,40,60,60,60,0,0
19,0,O.Wurke,Scotland,21,0,RM,0,4,56,77,41,57,93,66,45,58,96,63,50,100,60,60,60,0,0
20,0,L.Bayes,Ireland,30,0,RM,0,4,59,71,56,62,74,49,74,60,52,67,50,40,60,60,60,0,0
21,0,L.Griffins,Scotland,27,0,ST,0,4,76,65,40,60,40,63,59,55,51,97,50,40,60,60,60,0,0
22,0,E.Edward,France,20,0,ST,0,4,68,63,58,82,59,44,34,60,55,47,50,40,60,60,60,0,0
23,0,T.Way,United States,18,0,ST,0,4,63,62,52,71,35,42,92,62,100,49,50,40,60,60,60,0,0
24,1,Kapa,Spain,23,0,GK,0,4,30,23,27,29,78,68,72,71,60,58,50,100,60,60,60,0,0
25,1,W.Caballaro,Argentina,36,0,GK,0,4,25,21,28,25,70,93,79,87,95,98,50,40,60,60,60,0,0
26,1,A.Rudigar,Germany,25,0,CB,0,4,78,84,86,34,53,80,49,28,86,88,50,40,60,60,60,0,0
27,1,D.Luis,Brazil,31,0,CB,0,4,69,65,80,21,68,78,27,46,66,81,50,40,60,60,60,0,0
28,1,A.Christensen,Denmark,22,0,CB,0,4,68,88,85,4,80,79,35,14,42,53,50,40,60,60,60,0,0
29,1,G.Cuhill,England,42,0,CB,0,4,67,71,88,66,74,88,92,85,88,56,50,40,60,60,60,0,0
30,1,E.Ampada,Wales,17,0,CDM,0,4,53,51,94,85,61,81,40,12,53,68,50,40,60,60,60,0,0
31,1,C.Dave,Spain,28,0,RB,0,4,75,75,74,41,99,88,0,56,61,88,50,40,60,60,60,0,0
32,1,M.Alfonso,Spain,27,0,LB,0,4,55,55,84,94,55,67,60,84,81,86,50,40,60,60,60,0,0
33,1,Eberson,Italy,23,0,LB,0,4,42,43,82,45,64,79,6,23,61,85,50,40,60,60,60,0,0
34,1,D.Zapacoaster,Italy,26,0,RB,0,4,73,63,93,10,80,62,75,77,51,71,50,40,60,60,60,0,0
35,1,N.Kantre,France,27,0,CDM,0,4,89,80,89,60,84,85,25,7,93,80,50,100,60,60,60,0,0
36,1,Jordhino,Italy,26,0,CM,0,4,78,76,55,88,83,96,41,19,77,42,50,40,60,60,60,0,0
